name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	resection	status_description	hemisphere	lobe	dataset
A1	SEEG	µV	0.08	300	1000	not applied	preserved	normal	n/a	n/a	trained
A2	SEEG	µV	0.08	300	1000	not applied	preserved	normal	n/a	n/a	trained
A3	SEEG	µV	0.08	300	1000	not applied	preserved	normal	n/a	n/a	trained
A4	SEEG	µV	0.08	300	1000	not applied	preserved	normal	n/a	n/a	trained
A5	SEEG	µV	0.08	300	1000	not applied	preserved	normal	n/a	n/a	trained
A6	SEEG	µV	0.08	300	1000	not applied	preserved	normal	n/a	n/a	trained
B1	SEEG	µV	0.08	300	1000	not applied	resected	normal	n/a	n/a	trained
B2	SEEG	µV	0.08	300	1000	not applied	resected	normal	n/a	n/a	trained
B3	SEEG	µV	0.08	300	1000	not applied	resected	normal	n/a	n/a	trained
B4	SEEG	µV	0.08	300	1000	not applied	resected	normal	n/a	n/a	trained
C1	SEEG	µV	0.08	300	1000	not applied	resected	normal	n/a	n/a	trained
C2	SEEG	µV	0.08	300	1000	not applied	resected	normal	n/a	n/a	trained
C3	SEEG	µV	0.08	300	1000	not applied	resected	normal	n/a	n/a	trained
C4	SEEG	µV	0.08	300	1000	not applied	resected	normal	n/a	n/a	trained
D01	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	occipital	trained
D02	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	occipital	trained
D03	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	occipital	trained
D04	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	parietal	trained
D05	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	parietal	trained
D06	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	parietal	trained
D07	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	parietal	trained
D08	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	parietal	trained
D09	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	occipital	trained
D10	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	occipital	trained
D11	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	occipital	trained
D12	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	parietal	trained
D13	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	parietal	trained
D14	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	parietal	trained
D15	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	parietal	trained
D16	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	central	trained
E01	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	occipital	trained
E02	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	occipital	trained
E03	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	parietal	trained
E04	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	parietal	trained
E05	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	parietal	trained
