name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	resection	status_description	hemisphere	lobe	dataset
A1	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A2	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A3	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A4	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A5	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A6	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A7	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A8	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A9	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A10	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A11	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A12	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A13	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A14	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A15	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A16	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A17	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A18	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A19	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A20	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A21	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A22	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A23	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A24	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A25	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A26	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A27	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A28	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	central	other
A29	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
A30	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
A31	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A32	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
A33	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
A34	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
A35	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A36	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
A37	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
A38	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
A39	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
A40	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A41	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A42	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A43	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A44	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A45	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A46	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	temporal	other
A47	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A48	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A49	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A50	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
A51	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	parietal	other
A52	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	parietal	other
A53	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	parietal	other
A54	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
A55	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
A56	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A57	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A58	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A59	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
A60	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B1	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
B2	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
B3	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
B4	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
B5	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
B6	ECOG	µV	0.08	300	1000	not applied	resected	artifact	L	temporal	unused
B7	SEEG	µV	0.08	300	1000	not applied	resected	seizure onset zone	n/a	n/a	trained
B8	SEEG	µV	0.08	300	1000	not applied	resected	normal	n/a	n/a	trained
B9	SEEG	µV	0.08	300	1000	not applied	resected	normal	n/a	n/a	trained
B10	SEEG	µV	0.08	300	1000	not applied	resected	normal	n/a	n/a	trained
B11	SEEG	µV	0.08	300	1000	not applied	resected	spiking	n/a	n/a	unused
B12	SEEG	µV	0.08	300	1000	not applied	resected	spiking	n/a	n/a	unused
B13	SEEG	µV	0.08	300	1000	not applied	resected	seizure onset zone	n/a	n/a	trained
B14	SEEG	µV	0.08	300	1000	not applied	resected	normal	n/a	n/a	trained
B15	SEEG	µV	0.08	300	1000	not applied	resected	normal	n/a	n/a	trained
B16	SEEG	µV	0.08	300	1000	not applied	resected	normal	n/a	n/a	trained
B17	SEEG	µV	0.08	300	1000	not applied	resected	spiking	n/a	n/a	unused
B18	SEEG	µV	0.08	300	1000	not applied	resected	normal	n/a	n/a	trained
