name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	resection	status_description	hemisphere	lobe	dataset
A1	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	frontal	trained
A2	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	frontal	trained
A3	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	frontal	trained
A4	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	frontal	trained
A5	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A6	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	frontal	trained
A7	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	frontal	trained
A8	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A9	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A10	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A11	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	frontal	trained
A12	ECOG	µV	0.08	300	1000	not applied	preserved	seizure onset zone	L	frontal	trained
A13	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A14	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A15	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A16	ECOG	µV	0.08	300	1000	not applied	preserved	seizure onset zone	L	frontal	trained
A17	ECOG	µV	0.08	300	1000	not applied	preserved	seizure onset zone	L	frontal	trained
A18	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A19	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A20	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A21	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	temporal	other
A22	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	temporal	other
A23	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A24	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A25	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A26	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A27	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	frontal	trained
A28	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	frontal	trained
A29	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	frontal	trained
A30	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A31	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A32	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A33	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A34	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A35	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	frontal	other
A36	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A37	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A38	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A39	SEEG	µV	0.08	300	1000	not applied	preserved	seizure onset zone	n/a	n/a	trained
A40	SEEG	µV	0.08	300	1000	not applied	preserved	spiking	n/a	n/a	unused
A41	SEEG	µV	0.08	300	1000	not applied	preserved	spiking	n/a	n/a	unused
A42	SEEG	µV	0.08	300	1000	not applied	preserved	spiking	n/a	n/a	unused
A43	SEEG	µV	0.08	300	1000	not applied	preserved	spiking	n/a	n/a	unused
A44	SEEG	µV	0.08	300	1000	not applied	preserved	normal	n/a	n/a	trained
A45	SEEG	µV	0.08	300	1000	not applied	preserved	normal	n/a	n/a	trained
A46	SEEG	µV	0.08	300	1000	not applied	preserved	normal	n/a	n/a	trained
A47	SEEG	µV	0.08	300	1000	not applied	preserved	normal	n/a	n/a	trained
A48	SEEG	µV	0.08	300	1000	not applied	preserved	normal	n/a	n/a	trained
A49	SEEG	µV	0.08	300	1000	not applied	preserved	normal	n/a	n/a	trained
A50	SEEG	µV	0.08	300	1000	not applied	preserved	normal	n/a	n/a	trained
A51	SEEG	µV	0.08	300	1000	not applied	preserved	normal	n/a	n/a	trained
A52	SEEG	µV	0.08	300	1000	not applied	preserved	normal	n/a	n/a	trained
A53	SEEG	µV	0.08	300	1000	not applied	preserved	normal	n/a	n/a	trained
A54	SEEG	µV	0.08	300	1000	not applied	preserved	normal	n/a	n/a	trained
A55	SEEG	µV	0.08	300	1000	not applied	preserved	normal	n/a	n/a	trained
A56	SEEG	µV	0.08	300	1000	not applied	preserved	normal	n/a	n/a	trained
B1	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
B2	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
B3	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B4	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B5	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B6	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B7	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
B8	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
