name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	resection	status_description	hemisphere	lobe	dataset
A1	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	occipital	trained
A2	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	occipital	trained
A3	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	occipital	trained
A4	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	parietal	trained
A5	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	parietal	trained
A6	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	parietal	trained
A7	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	central	trained
A8	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	central	trained
A9	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
A10	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
A11	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	temporal	trained
A12	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	temporal	trained
A13	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	temporal	trained
A14	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	temporal	trained
A15	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	temporal	trained
A16	ECOG	µV	0.08	300	1000	not applied	resected	artifact	R	temporal	unused
A17	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	temporal	other
A18	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	temporal	other
A19	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	temporal	trained
A20	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	temporal	trained
A21	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	temporal	trained
A22	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	temporal	trained
A23	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	temporal	trained
A24	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	temporal	trained
A25	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	occipital	trained
A26	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	temporal	trained
A27	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	temporal	trained
A28	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	temporal	other
A29	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	temporal	other
A30	ECOG	µV	0.08	300	1000	not applied	resected	artifact	R	temporal	unused
A31	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	occipital	other
A32	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	occipital	other
A33	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	occipital	other
A34	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	temporal	other
A35	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	temporal	other
A36	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	temporal	other
A37	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	temporal	other
A38	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	temporal	other
A39	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	occipital	trained
A40	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	occipital	trained
A41	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	occipital	trained
A42	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	occipital	trained
A43	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	parietal	trained
A44	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	parietal	trained
A45	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	parietal	trained
A46	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	parietal	trained
A47	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	parietal	trained
A48	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	parietal	trained
A49	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
A50	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
A51	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
A52	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
A53	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
A54	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
