name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	resection	status_description	hemisphere	lobe	dataset
A1	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
A2	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
A3	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
A4	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
B1	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
B2	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
B3	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
B4	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
C1	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	R	frontal	other
C2	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
C3	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	R	frontal	other
C4	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
C5	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
C6	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
C7	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
C8	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
D01	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
D02	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
D03	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
D04	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
D05	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
D06	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
D07	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
D08	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
D09	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
D10	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	R	frontal	unused
E01	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
E02	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
E03	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
E04	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
E05	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
E06	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
E07	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
E08	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
E09	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
E10	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
F1	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	temporal	other
F2	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	temporal	trained
F3	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	temporal	other
F4	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	temporal	trained
G1	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	temporal	other
G2	ECOG	µV	0.08	300	1000	not applied	resected	artifact	R	temporal	unused
G3	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	temporal	trained
G4	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	temporal	trained
H1	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	temporal	trained
H2	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	temporal	trained
H3	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	temporal	other
H4	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	temporal	trained
I1	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	temporal	trained
I2	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	temporal	trained
I3	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	temporal	trained
I4	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	temporal	trained
J1	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	temporal	trained
J2	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	temporal	trained
J3	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	temporal	trained
J4	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	temporal	trained
J5	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	temporal	trained
J6	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	temporal	trained
K1	SEEG	µV	0.08	300	1000	not applied	preserved	normal	n/a	n/a	trained
K2	SEEG	µV	0.08	300	1000	not applied	preserved	normal	n/a	n/a	trained
K3	SEEG	µV	0.08	300	1000	not applied	preserved	normal	n/a	n/a	trained
K4	SEEG	µV	0.08	300	1000	not applied	preserved	normal	n/a	n/a	trained
K5	SEEG	µV	0.08	300	1000	not applied	preserved	normal	n/a	n/a	trained
K6	SEEG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
L1	SEEG	µV	0.08	300	1000	not applied	preserved	normal	n/a	n/a	trained
L2	SEEG	µV	0.08	300	1000	not applied	preserved	normal	n/a	n/a	trained
L3	SEEG	µV	0.08	300	1000	not applied	preserved	normal	n/a	n/a	trained
L4	SEEG	µV	0.08	300	1000	not applied	preserved	normal	n/a	n/a	trained
L5	SEEG	µV	0.08	300	1000	not applied	preserved	normal	n/a	n/a	trained
L6	SEEG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
M1	SEEG	µV	0.08	300	1000	not applied	preserved	normal	n/a	n/a	trained
M2	SEEG	µV	0.08	300	1000	not applied	preserved	normal	n/a	n/a	trained
M3	SEEG	µV	0.08	300	1000	not applied	preserved	normal	n/a	n/a	trained
M4	SEEG	µV	0.08	300	1000	not applied	preserved	normal	n/a	n/a	trained
M5	SEEG	µV	0.08	300	1000	not applied	preserved	normal	n/a	n/a	trained
M6	SEEG	µV	0.08	300	1000	not applied	preserved	normal	R	central	trained
N1	SEEG	µV	0.08	300	1000	not applied	resected	normal	n/a	n/a	trained
N2	SEEG	µV	0.08	300	1000	not applied	resected	normal	n/a	n/a	trained
N3	SEEG	µV	0.08	300	1000	not applied	resected	normal	n/a	n/a	trained
N4	SEEG	µV	0.08	300	1000	not applied	resected	normal	n/a	n/a	trained
N5	SEEG	µV	0.08	300	1000	not applied	resected	normal	n/a	n/a	trained
N6	SEEG	µV	0.08	300	1000	not applied	resected	normal	R	temporal	trained
O1	SEEG	µV	0.08	300	1000	not applied	resected	spiking	n/a	n/a	unused
O2	SEEG	µV	0.08	300	1000	not applied	resected	seizure onset zone	n/a	n/a	trained
O3	SEEG	µV	0.08	300	1000	not applied	resected	spiking	n/a	n/a	unused
O4	SEEG	µV	0.08	300	1000	not applied	resected	normal	n/a	n/a	trained
O5	SEEG	µV	0.08	300	1000	not applied	resected	normal	n/a	n/a	trained
O6	SEEG	µV	0.08	300	1000	not applied	resected	normal	R	temporal	trained
P1	SEEG	µV	0.08	300	1000	not applied	resected	spiking	n/a	n/a	unused
P2	SEEG	µV	0.08	300	1000	not applied	resected	spiking	n/a	n/a	unused
