name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	resection	status_description	hemisphere	lobe	dataset
A1	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	parietal	other
A2	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	occipital	other
A3	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A4	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A5	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A6	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A7	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	parietal	other
A8	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A9	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	occipital	trained
A10	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	occipital	trained
A11	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A12	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A13	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	occipital	trained
A14	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	occipital	trained
A15	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	occipital	trained
A16	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A17	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A18	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	occipital	trained
A19	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	occipital	trained
A20	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	occipital	trained
A21	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A22	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A23	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A24	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A25	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A26	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A27	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A28	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A29	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A30	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A31	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A32	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A33	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A34	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A35	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A36	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A37	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A38	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A39	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A40	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A41	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A42	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A43	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A44	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A45	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A46	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A47	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A48	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A49	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A50	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A51	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A52	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
B1	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B2	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B3	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B4	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
B5	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
B6	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
B7	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
B8	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
B9	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B10	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B11	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B12	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
B13	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
B14	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
