name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	resection	status_description	hemisphere	lobe	dataset
A1	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	frontal	trained
A2	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	frontal	trained
A3	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	frontal	trained
A4	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	frontal	trained
A5	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	frontal	trained
A6	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	frontal	trained
A7	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	frontal	trained
A8	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	frontal	trained
A9	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	frontal	trained
A10	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
A11	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	occipital	unused
A12	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	parietal	other
A13	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	parietal	other
A14	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A15	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A16	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
A17	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
A18	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
A19	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	frontal	unused
A20	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	frontal	trained
A21	ECOG	µV	0.08	300	1000	not applied	resected	normal	n/a	n/a	trained
A22	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	frontal	trained
A23	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	frontal	trained
A24	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	frontal	trained
