name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	resection	status_description	hemisphere	lobe	dataset
A1	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A2	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A3	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A4	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A5	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A6	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A7	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A8	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A9	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A10	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A11	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A12	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A13	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A14	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A15	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A16	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A17	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A18	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A19	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A20	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A21	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A22	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A23	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A24	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A25	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A26	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A27	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A28	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A29	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A30	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A31	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A32	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A33	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A34	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A35	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A36	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A37	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A38	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A39	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A40	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
A41	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A42	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A43	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A44	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A45	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A46	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A47	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A48	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A49	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A50	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A51	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A52	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A53	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A54	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A55	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A56	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A57	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A58	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A59	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A60	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B1	SEEG	µV	0.08	300	1000	not applied	resected	normal	n/a	n/a	trained
B2	SEEG	µV	0.08	300	1000	not applied	n/a	normal	n/a	n/a	trained
B3	SEEG	µV	0.08	300	1000	not applied	n/a	seizure onset zone	n/a	n/a	trained
B4	SEEG	µV	0.08	300	1000	not applied	n/a	normal	n/a	n/a	trained
B5	SEEG	µV	0.08	300	1000	not applied	n/a	normal	n/a	n/a	trained
B6	SEEG	µV	0.08	300	1000	not applied	preserved	normal	n/a	n/a	trained
B7	SEEG	µV	0.08	300	1000	not applied	resected	normal	n/a	n/a	trained
B8	SEEG	µV	0.08	300	1000	not applied	n/a	normal	n/a	n/a	trained
B9	SEEG	µV	0.08	300	1000	not applied	n/a	normal	n/a	n/a	trained
B10	SEEG	µV	0.08	300	1000	not applied	n/a	normal	n/a	n/a	trained
B11	SEEG	µV	0.08	300	1000	not applied	n/a	normal	n/a	n/a	trained
B12	SEEG	µV	0.08	300	1000	not applied	preserved	normal	n/a	n/a	trained
